"","pap_research","pub_research","effect_rate","share","use_opp","benefits","reusecost","cost","time","Publ","impact"
"6288",0.978837468933696,1.021620066393,1.05741737263349,1,0,0,0,0.041,1.159,0.863,0.863
"6289",1.62536151575577,0.615247740460383,1.62386054733807,0,0,0,0,0,0.615,1.626,1.626
"6290",10.472101762679,0.0954918146005656,10.9046887057477,1,3,0.057,0.001,0.041,0.091,10.989,10.989
"6291",0.3294911120284,3.03498323169885,0.32145921236566,1,0,0,0,0.041,3.43,0.292,0.292
"6292",6.99877006611304,0.142882247959802,6.42830638687086,1,3,0.092,0.001,0.041,0.123,8.13,8.13
"6293",0.0298969514642687,33.4482263583011,0.0281757391876525,1,0,0,0,0.041,37.39,0.027,0.027
"6294",13.0123524426051,0.0768500549313278,13.6997073335315,1,4,0.052,0.001,0.041,0.074,13.514,13.514
"6295",2.09505629784216,0.477314142359786,2.27925088065588,1,1,0.094,0.001,0.041,0.403,2.481,2.481
"6296",5.31832557256436,0.18802910546859,5.21092554014973,1,2,0.071,0.001,0.041,0.171,5.848,5.848
"6297",0.698523414335044,1.43159123871595,0.728662153079538,1,0,0,0,0.041,1.593,0.628,0.628
"6298",5.38607024897798,0.185664121293211,5.66441239600803,0,2,0.079,0.001,0,0.145,6.897,6.897
"6299",5.98004213833757,0.167222901923898,5.46660956857243,0,2,0.07,0.001,0,0.134,7.463,7.463
"6300",2.95138619764496,0.338823838370574,3.19820961509646,0,0,0,0,0,0.339,2.95,2.95
"6301",3.42184591551039,0.292239926838098,3.25531997251922,1,0,0,0,0.041,0.331,3.021,3.021
"6302",0.371291867942246,2.69329895519163,0.345875369269674,0,0,0,0,0,2.693,0.371,0.371
"6303",1.44496744150444,0.692057115805211,1.34770629870761,0,0,0,0,0,0.692,1.445,1.445
"6304",5.79343707897858,0.172609106885529,6.05136697553768,1,1,0.037,0,0.041,0.175,5.714,5.714
"6305",3.13624262710715,0.318852881902952,3.27339231406017,0,2,0.147,0.002,0,0.191,5.236,5.236
"6306",13.1510599320752,0.0760394983495604,12.9194508574238,0,6,0.102,0.001,0,0.055,18.182,18.182
"6307",2.90726213367788,0.343966231464286,2.8181731427833,1,2,0.136,0.002,0.041,0.242,4.132,4.132
"6308",2.68191441452299,0.372867976168383,2.55253584401278,0,1,0.091,0.001,0,0.278,3.597,3.597
"6309",0.139999637390991,7.14287564336468,0.148054198559618,1,0,0,0,0.041,8.049,0.124,0.124
"6310",1.98986699472114,0.502546151402517,1.86542042835373,1,0,0,0,0.041,0.567,1.764,1.764
"6311",2.64518473977304,0.378045429101409,2.70693257964531,1,0,0,0,0.041,0.424,2.358,2.358
"6312",0.37023509928768,2.70098648648917,0.392777695432233,0,0,0,0,0,2.701,0.37,0.37
"6313",4.13125821099847,0.242057007557103,3.85764954672048,0,1,0.054,0.001,0,0.207,4.831,4.831
"6314",4.03745577332178,0.247680731664649,4.16099454999082,0,2,0.105,0.001,0,0.178,5.618,5.618
"6315",4.7717007590928,0.209568883399578,4.41968596277718,0,1,0.04,0.001,0,0.183,5.464,5.464
"6316",11.142663337225,0.0897451506642253,12.0285658804648,0,5,0.089,0.001,0,0.066,15.152,15.152
"6317",0.549670129952495,1.81927295210024,0.544201187904669,0,0,0,0,0,1.819,0.55,0.55
"6318",10.9073832914919,0.0916810176442623,10.9702980353215,0,2,0.042,0.001,0,0.082,12.195,12.195
"6319",3.82742969895819,0.261271944530345,3.773822985178,1,1,0.049,0.001,0.041,0.256,3.906,3.906
"6320",0.323180233175542,3.09424864934988,0.352680221613038,0,0,0,0,0,3.094,0.323,0.323
"6321",10.8913060380408,0.0918163530165467,10.5712289176296,1,3,0.051,0.001,0.041,0.089,11.236,11.236
"6322",1.39260751299221,0.718077412817747,1.47589111095416,1,1,0.155,0.002,0.041,0.481,2.079,2.079
"6323",6.12356447601408,0.163303579788698,5.91089932369661,1,2,0.073,0.001,0.041,0.15,6.667,6.667
"6324",4.09822963209334,0.244007800873083,3.95326473103448,0,1,0.049,0.001,0,0.21,4.762,4.762
"6325",3.1682388374523,0.315632769909525,2.92214977863499,0,1,0.074,0.001,0,0.247,4.049,4.049
"6326",10.9939039483987,0.0909594994365631,10.0223235763166,0,4,0.068,0.001,0,0.072,13.889,13.889
"6327",5.45219169126511,0.183412480086144,5.90166014810949,1,0,0,0,0.041,0.207,4.831,4.831
"6328",4.66571731969274,0.214329315618687,4.82039673523972,0,1,0.043,0.001,0,0.187,5.348,5.348
"6329",1.19164266437571,0.839177741696495,1.12095322992834,1,1,0.163,0.002,0.041,0.52,1.923,1.923
"6330",3.01432604733311,0.331749115489593,3.11011652421917,0,0,0,0,0,0.332,3.012,3.012
"6331",5.03126768059711,0.198757065511831,4.98809472636408,1,0,0,0,0.041,0.224,4.464,4.464
"6332",0.0017796398149824,561.911456229075,0.001790210222486,1,0,0,0,0.041,629.726,0.002,0.002
"6333",0.924898844225271,1.08119931843751,0.944742763296183,1,0,0,0,0.041,1.226,0.816,0.816
"6334",2.21996336900074,0.450457883208283,2.06533928121882,1,1,0.085,0.001,0.041,0.388,2.577,2.577
"6335",4.37331897609412,0.228659287252154,4.79980341416128,1,2,0.088,0.001,0.041,0.196,5.102,5.102
"6336",2.29357992512597,0.435999630553567,2.23216356484706,1,0,0,0,0.041,0.491,2.037,2.037
"6337",0.484591868975991,2.06359219793171,0.529246727437751,0,0,0,0,0,2.064,0.484,0.484
"6338",0.78436631697718,1.27491451169632,0.707919178550394,0,0,0,0,0,1.275,0.784,0.784
"6339",3.60177040866032,0.27764123931818,3.4498320993812,0,1,0.059,0.001,0,0.229,4.367,4.367
"6340",11.9932645184094,0.0833801337796742,12.5700593115763,1,6,0.103,0.001,0.041,0.069,14.493,14.493
"6341",3.56626659394242,0.280405284814819,3.27059797483771,1,0,0,0,0.041,0.314,3.185,3.185
